Uri,Paint,Author,Museum,Genre,Movement,Content
http://www.wikidata.org/entity/Q16038642,The Mystic Marriage of St. Catherine,Paolo Veronese,Gallerie dell'Accademia,religious art,mannerism,angelo Caterina d'Alessandria Bambino Gesù Maria
http://www.wikidata.org/entity/Q15974361,The Holy Family with St Barbara and the Infant St John,Paolo Veronese,Uffizi Gallery,religious art,mannerism,San Giovannino ragazzo donna Santa Barbara Bambino Gesù Maria
http://www.wikidata.org/entity/Q15974356,Portrait of Iseppo da Porto and his son Adriano,Paolo Veronese,Uffizi Gallery,portrait,mannerism,Iseppo da Porto
http://www.wikidata.org/entity/Q15974345,The Martyrdom of Saint Justina,Paolo Veronese,Uffizi Gallery,religious art,mannerism,Giustina di Padova
http://www.wikidata.org/entity/Q15974329,Annunciation,Paolo Veronese,Uffizi Gallery,religious art,mannerism,donna Maria
http://www.wikidata.org/entity/Q151047,The Birth of Venus,Sandro Botticelli,"Uffizi Gallery - Room 10-14, Botticelli's",mythological painting,Renaissance,Afrodite parto Afrodite parto ombelico mare Ore Zefiro ombelico albero Pecten maximus capelli lunghi Venere vento Pecten maximus vento donna Venere mare cielo capelli lunghi Ore Zefiro albero cielo donna
http://www.wikidata.org/entity/Q15074981,The Feast in the House of Simon the Pharisee,Paolo Veronese,Pinacoteca di Brera,religious art,mannerism,Gesù uomo
http://www.wikidata.org/entity/Q1473546,Doni Tondo,Michelangelo,Uffizi,religious art,High Renaissance,donna Bambino Gesù Maria Sacra Famiglia ragazzo
http://www.wikidata.org/entity/Q1460271,Portrait of Pope Paul V,Caravaggio,Galleria Borghese,portrait,Baroque,papa Paolo V
http://www.wikidata.org/entity/Q1448701,The Crowning with Thorns,Caravaggio,Palazzo degli Alberti,religious art,Baroque,uomo Gesù
http://www.wikidata.org/entity/Q14425558,Danaë,Titian,National Museum of Capodimonte,mythological painting,Venetian school,putto lenzuolo baldacchino base cuscino copriletto ombelico colonna anello Cupido moneta copriletto ombelico Eros gimnopodismo ragazzo posizione eretta decubito donna Danae tenda nudità Eros dito del piede dito del piede putto nudità colonna arco Danae capezzolo arco mammella letto ragazzo Cupido tenda base cuscino lenzuolo orecchino baldacchino braccialetto orecchino anello mammella letto ascella donna ascella moneta capezzolo braccialetto
http://www.wikidata.org/entity/Q1433194,Nativity with St. Francis and St. Lawrence,Caravaggio,Oratory of San Lorenzo,religious art,Baroque,ragazzo donna Maria Bambino Gesù
http://www.wikidata.org/entity/Q1328065,Portrait of Eleanor of Toledo and her son Giovanni de' Medici,Agnolo Bronzino,Uffizi,portrait,mannerism,Giovanni di Cosimo I de' Medici Eleonora di Toledo
http://www.wikidata.org/entity/Q1241129,Annunciation,Andrea del Sarto,Galleria Palatina,religious art,High Renaissance,Annunciazione
http://www.wikidata.org/entity/Q1240092,Portrait of Innocent X,Diego Velázquez,Doria Pamphilj Gallery,portrait,Baroque,uomo papa Innocenzo X
http://www.wikidata.org/entity/Q11769269,St Mary of Egypt,Jacopo Tintoretto,Scuola Grande di San Rocco,religious art,mannerism,Maria Maddalena donna capelli lunghi
http://www.wikidata.org/entity/Q11769022,St Mary Magdalen,Jacopo Tintoretto,Scuola Grande di San Rocco,religious art,mannerism,aureola albero lettura Maria Maddalena posizione seduta corso d'acqua capelli lunghi donna libro
http://www.wikidata.org/entity/Q11753618,Leda and the Swan,Jacopo Tintoretto,Historic Centre of Florence,nude,mannerism,biondi semisdisteso gimnopodismo gatto domestico Giove posizione seduta posizione seduta panneggio panneggio cane lavoro domestico gimnopodismo cane biondi donna ombelico cane braccialetto gabbia Giove gimnopodismo biondi braccialetto collana cigno abito da donna abito da donna Leda Psittacidae mammella semisdisteso mammella braccialetto nudità semisdisteso braccialetto biondi posizione seduta panneggio abito da donna ombelico Psittacidae ombelico Zeus gimnopodismo posizione seduta Giove donna gatto domestico gatto domestico donna mammella Zeus Leda collana Zeus nudità nudità Leda Zeus cigno donna gatto domestico cigno nudità cane lavoro domestico collana Leda collana cigno Psittacidae gatto domestico Giove cane lavoro domestico ombelico gabbia abito da donna gabbia donna Psittacidae gabbia lavoro domestico mammella
http://www.wikidata.org/entity/Q11694943,Doge Antonio Grimani Kneeling Before the Faith,Titian,Sala delle Quattro Porte,mythological painting,Venetian school,Antonio Grimani Antonio Grimani
http://www.wikidata.org/entity/Q1132486,The Martyrdom of Saint Ursula,Caravaggio,Palazzo Zevallos Stigliano,religious art,Baroque,Storie di sant'Orsola
http://www.wikidata.org/entity/Q1132479,Burial of St. Lucy,Caravaggio,Santa Lucia alla Badia (Syracuse),religious art,Baroque,donna Santa Lucia
http://www.wikidata.org/entity/Q1113749,Portrait of Fra Antonio Martelli,Caravaggio,Palazzo Pitti,portrait,Baroque,Antonio Martelli
http://www.wikidata.org/entity/Q1110146,Adoration of the Shepherds with the Saints Nazario and Celso,Moretto da Brescia,Church of Saints Nazarius and Celsus,religious art,Renaissance,gufo Bambino Gesù adorazione dei pastori ragazzo arco armatura donna uomo edificio preghiera nastro Maria cherubino caucasico
http://www.wikidata.org/entity/Q1055117,Adoration of the Magi,Gentile da Fabriano,Santa Trinita,religious art,International Gothic,Bambino Gesù donna ragazzo Maria ragazzo Magi Adorazione dei Magi Maria adorazione Magi Bambino Gesù Adorazione dei Magi adorazione donna
